ID1,ID2,ID3,PageSize,Protect,HighPerformance,Delay_WriteStatus,Delay_ChipErase,Delay_BlockErase,Delay_SectorErase,BlockProtect,SRProtect,BP_Check_Done
x,x,x,256,o,x,0,800,100,0,x,x,
0xEF,0x30,0x12,256,x ,x ,10,500,150,30,2_3,7,
0xEF,0x60,0x12,256,x ,x ,1,750,250,120,2_3_4,7,
0xEF,0x70,0x17,256,x,x,10,20000,150,45,2_3_4,7,
0xC8,0x40,0x12,256,x,x,5,800,250,45,2_3_4_5_6,7,
0xC8,0x40,0x13,256,x,x,5,2500,250,45,2_3_4_5_6,7,
0xC8,0x40,0x14,256,x,x,5,4000,250,45,2_3_4_5_6,7,
0xC8,0x60,0x13,256,o,x ,40,3000,800,150,2_3_4_5_6,7,
0xC8,0x60,0x12,256,x ,x ,30,2500,800,150,2_3_4_5_6,7,
0xC2,0x20,0x12,256,x,x ,10,1800,700,60,2_3,7,
0xC2,0x23,0x12,256,x,x ,10,2800,480,40,2_3_4_5,7,
0xC2,0x23,0x13,256,x,x ,10,2800,480,40,2_3_4_5,7,
0xC2,0x25,0x32,256,x,x ,0,1250,500,30,2_3_4,7,
0xC2,0x28,0x11,256,x,x,10,1880,800,58,2_3_4_5,7,
0xC2,0x28,0x12,256,x,o,0,800,100,0,2_3_4_5,7,
0x85,0x60,0x13,256,x ,x ,8,8,8,8,2_3_4_5_6,7,
0x85,0x60,0x12,256,x ,x ,8,8,8,8,2_3_4_5_6,7,
0x85,0x40,0x12,256,x ,x ,8,8,8,8,2_3_4_5_6,7,
0x7F,0x11,0x52,256,x ,x ,5,750,250,120,2_3_4_5,7,
0x5E,0x60,0x13,256,x ,x ,1,2000,200,35,2_3_4,7,
0x1C,0x38,0x13,256,x ,x ,2,2000,150,40,2_3_4_5,7,
0x1C,0x38,0x12,256,x ,x ,2,1000,150,40,2_3_4_5,7,
0x9D,0x40,0x12,256,x,x,2,750,200,70,2_3_4,7,
0x9D,0x40,0x13,256,x,x,2,1500,200,70,2_3_4,7,
0x9D,0x60,0x15,256,x,x,2,4000,150,70,2_3_4,7,
